,userId,movieId,rating,timestamp,title,genres,description,cast
23,1,423,3.0,964982363,Blown Away (1994),Action|Thriller,An Irish bomber escapes from prison and targets a member of the Boston bomb squad.,"['Jeff Bridges', 'Tommy Lee Jones', 'Suzy Amis', 'Lloyd Bridges', 'Forest Whitaker', 'Stephi Lineburg', 'John Finn', 'Caitlin Clarke', 'Christofer de Oni', 'Loyd Catlett', 'Ruben Santiago-Hudson', 'Lucinda Weist', 'Brendan Burns', 'Tricia Heine', 'Josh McLaglen', 'Ken Kerman', 'David U. Hodges', 'Robert Bobby Z Zajonc']"
24,1,441,4.0,964980868,Dazed and Confused (1993),Comedy,The adventures of high school and junior high students on the last day of school in May 1976.,"['Jason London', 'Wiley Wiggins', 'Matthew McConaughey', 'Rory Cochrane', 'Joey Lauren Adams', 'Milla Jovovich', 'Shawn Andrews', 'Adam Goldberg', 'Anthony Rapp', 'Sasha Jenson', 'Marissa Ribisi', 'Deena Martin', 'Michelle Burke', 'Cole Hauser', 'Christine Harnos', 'Mark Vandermeulen', 'Esteban Powell', 'Jeremy Fox']"
25,1,457,5.0,964981909,"Fugitive, The (1993)",Thriller,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.","['Harrison Ford', 'Tommy Lee Jones', 'Sela Ward', 'Julianne Moore', 'Joe Pantoliano', 'Andreas Katsulas', 'Jeroen Krabbé', 'Daniel Roebuck', 'L. Scott Caldwell', 'Tom Wood', 'Ron Dean', 'Joseph F. Kosala', 'Miguel Nino', 'John Drummond', 'Tony Fosco', 'Joseph F. Fisher', 'James Liautaud', 'David Darlow']"
26,1,480,4.0,964982346,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck', 'Martin Ferrero', 'BD Wong', 'Joseph Mazzello', 'Ariana Richards', 'Samuel L. Jackson', 'Wayne Knight', 'Gerald R. Molen', 'Miguel Sandoval', 'Cameron Thor', 'Christopher John Fields', 'Whit Hertford', 'Dean Cundey', 'Jophery C. Brown']"
27,1,500,3.0,964981208,Mrs. Doubtfire (1993),Comedy|Drama,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.","['Robin Williams', 'Sally Field', 'Pierce Brosnan', 'Harvey Fierstein', 'Polly Holliday', 'Lisa Jakub', 'Matthew Lawrence', 'Mara Wilson', 'Robert Prosky', 'Anne Haney', 'Scott Capurro', 'Sydney Walker', 'Joe Bellan', 'Martin Mull', 'Terence McGovern', 'Karen Kahn', 'Eva Gholson', 'James Cunningham']"
28,1,527,5.0,964984002,Schindler's List (1993),Drama|War,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz', 'Malgorzata Gebel', 'Shmuel Levy', 'Mark Ivanir', 'Béatrice Macola', 'Andrzej Seweryn', 'Friedrich von Thun', 'Krzysztof Luft', 'Harry Nehring', 'Norbert Weisser', 'Adi Nitzan', 'Michael Schneider', 'Miri Fabian']"
29,1,543,4.0,964981179,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.,"['Mike Myers', 'Nancy Travis', 'Anthony LaPaglia', 'Amanda Plummer', 'Brenda Fricker', 'Matt Doherty', 'Charles Grodin', 'Phil Hartman', 'Debi Mazar', 'Steven Wright', 'Patrick Bristow', 'Cintra Wilson', 'Al Nalbandian', 'George F. Mauricio', 'Kiki Douveas', 'Lillie Lowe', 'Maria Dos Remedios', 'Luenell']"
31,1,553,5.0,964984153,Tombstone (1993),Action|Drama|Western,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.","['Kurt Russell', 'Val Kilmer', 'Sam Elliott', 'Bill Paxton', 'Powers Boothe', 'Michael Biehn', 'Charlton Heston', 'Jason Priestley', 'Jon Tenney', 'Stephen Lang', 'Thomas Haden Church', 'Dana Delany', 'Paula Malcomson', 'Lisa Collins', 'Dana Wheeler-Nicholson', 'Joanna Pacula', 'Michael Rooker', 'Harry Carey Jr.']"
32,1,590,4.0,964982546,Dances with Wolves (1990),Adventure|Drama|Western,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.","['Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant', 'Floyd Red Crow Westerman', 'Tantoo Cardinal', 'Robert Pastorelli', 'Charles Rocket', 'Maury Chaykin', 'Jimmy Herman', 'Nathan Lee Chasing His Horse', 'Michael Spears', 'Jason R. Lone Hill', 'Tony Pierce', 'Doris Leader Charge', 'Tom Everett', 'Larry Joshua', 'Kirk Baltz']"
33,1,592,4.0,964982271,Batman (1989),Action|Crime|Thriller,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.","['Michael Keaton', 'Jack Nicholson', 'Kim Basinger', 'Robert Wuhl', 'Pat Hingle', 'Billy Dee Williams', 'Michael Gough', 'Jack Palance', 'Jerry Hall', 'Tracey Walter', 'Lee Wallace', 'William Hootkins', 'Richard Strange', 'Carl Chase', 'Mac McDonald', 'George Lane Cooper', 'Terence Plummer', 'Philip Tan']"
34,1,593,4.0,964983793,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.","['David Gobble', 'Sarah Gobble', 'Brad Jones', 'Leslie Shields Jones']"
35,1,596,5.0,964982838,Pinocchio (1940),Animation|Children|Fantasy|Musical,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","['Dickie Jones', 'Christian Rub', 'Mel Blanc', 'Billy Bletcher', 'Don Brodie', 'Stuart Buchanan', 'Walter Catlett', 'Marion Darlington', 'Frankie Darro', 'Virginia Davis', 'Walt Disney', 'Cliff Edwards', 'Charles Judels', 'Dal McKennon', 'John McLeish', 'Jack Mercer', 'Clarence Nash', 'Patricia Page']"
36,1,608,5.0,964982931,Fargo (1996),Comedy|Crime|Drama|Thriller,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare', 'Kristin Rudrüd', 'Harve Presnell', 'Tony Denman', 'Gary Houston', 'Sally Wingert', 'Kurt Schweickhardt', 'Larissa Kokernot', 'Melissa Peterman', 'Steve Reevis', 'Warren Keith', 'Steve Edelman', 'Sharon Anderson', 'Larry Brandenburg', 'James Gaulke']"
37,1,648,3.0,964982563,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.","['Tom Cruise', 'Jon Voight', 'Emmanuelle Béart', 'Henry Czerny', 'Jean Reno', 'Ving Rhames', 'Kristin Scott Thomas', 'Vanessa Redgrave', 'Ingeborga Dapkunaite', 'Valentina Yakunina', 'Marek Vasut', 'Nathan Osgood', 'John McLaughlin', 'Rolf Saxon', 'Karel Dobrý', 'Andreas Wisniewski', 'David Shaeffer', 'Rudolf Pechan']"
38,1,661,5.0,964982838,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,"An orphan who lives with his two cruel aunts befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City.","['Paul Terry', 'Joanna Lumley', 'Pete Postlethwaite', 'Simon Callow', 'Richard Dreyfuss', 'Jane Leeves', 'Miriam Margolyes', 'Susan Sarandon', 'David Thewlis', 'J. Stephen Coyle', 'Steven Culp', 'Cirocco Dunlap', 'Michael Girardin', 'Tony Haney', 'Kathryn Howell', 'Chae Kirby', 'Jeff Mosley', 'Al Nalbandian']"
39,1,673,3.0,964981775,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.","['Michael Jordan', 'Wayne Knight', 'Theresa Randle', 'Manner Washington', 'Eric Gordon', 'Penny Bae Bridges', 'Brandon Hammond', 'Larry Bird', 'Bill Murray', 'Thom Barry', 'Charles Barkley', 'Patrick Ewing', 'Tyrone Bogues', 'Larry Johnson', 'Shawn Bradley', 'Ahmad Rashad', 'Del Harris', 'Vlade Divac']"
40,1,733,4.0,964982400,"Rock, The (1996)",Action|Adventure|Thriller,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.","['Sean Connery', 'Nicolas Cage', 'Ed Harris', 'John Spencer', 'David Morse', 'William Forsythe', 'Michael Biehn', 'Vanessa Marcil', 'John C. McGinley', 'Gregory Sporleder', 'Tony Todd', 'Bokeem Woodbine', 'Jim Maniaci', 'Greg Collins', 'Brendan Kelly', 'Steve Harris', 'Danny Nucci', 'Claire Forlani']"
41,1,736,3.0,964982653,Twister (1996),Action|Adventure|Romance|Thriller,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.","['Helen Hunt', 'Bill Paxton', 'Cary Elwes', 'Jami Gertz', 'Philip Seymour Hoffman', 'Lois Smith', 'Alan Ruck', 'Sean Whalen', 'Scott Thomson', 'Todd Field', 'Joey Slotnick', 'Wendle Josepher', 'Jeremy Davies', 'Zach Grenier', 'Gregory Sporleder', 'Patrick Fischler', 'Nicholas Sadler', 'Ben Weber']"
43,1,804,4.0,964980499,She's the One (1996),Comedy|Romance,"The love lives of two brothers, Mickey and Francis, interconnect as Francis cheats on his wife with Mickey's ex-girlfriend, while Mickey impulsively marries a stranger.","['Edward Burns', 'Jennifer Aniston', 'John Mahoney', 'Michael McGlone', 'Maxine Bahns', 'Cameron Diaz', 'Malachy McCourt', 'Leslie Mann', 'Amanda Peet', 'Anita Gillette', 'Frank Vincent', 'Beatrice Winde', 'Eugene Osborne Smith', 'Robert Weil', 'Tom Tammi', 'Raymond De Marco', 'Ron Farrell', 'Mark Belasco']"
44,1,919,5.0,964982475,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.",['Bernard Cribbins']
45,1,923,5.0,964981529,Citizen Kane (1941),Drama|Mystery,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.","['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead', 'Ruth Warrick', 'Ray Collins', 'Erskine Sanford', 'Everett Sloane', 'William Alland', 'Paul Stewart', 'George Coulouris', 'Fortunio Bonanova', 'Gus Schilling', 'Philip Van Zandt', 'Georgia Backus', 'Harry Shannon', 'Sonny Bupp', 'Buddy Swan']"
46,1,940,5.0,964982176,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.","['Errol Flynn', 'Olivia de Havilland', 'Basil Rathbone', 'Claude Rains', 'Patric Knowles', 'Eugene Pallette', 'Alan Hale', 'Melville Cooper', 'Ian Hunter', 'Una OConnor', 'Herbert Mundin', 'Montagu Love', 'Leonard Willey', 'Robert Noble', 'Kenneth Hunter', 'Robert Warwick', 'Colin Kenny', 'Lester Matthews']"
47,1,943,4.0,964983614,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance,"In 1900, a young widow finds her seaside cottage is haunted and forms a unique relationship with the ghost.","['Gene Tierney', 'Rex Harrison', 'George Sanders', 'Edna Best', 'Vanessa Brown', 'Anna Lee', 'Robert Coote', 'Natalie Wood', 'Isobel Elsom', 'Victoria Horne', 'Helen Freeman', 'Stuart Holmes', 'Whitford Kane', 'Buster Slaven', 'Will Stanton', 'William Stelling', 'Houseley Stevenson', 'David Thursby']"
48,1,954,5.0,964983219,Mr. Smith Goes to Washington (1939),Drama,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.","['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold', 'Guy Kibbee', 'Thomas Mitchell', 'Eugene Pallette', 'Beulah Bondi', 'H.B. Warner', 'Harry Carey', 'Astrid Allwyn', 'Ruth Donnelly', 'Grant Mitchell', 'Porter Hall', 'H.V. Kaltenborn', 'Charles Lane', 'Pierre Watkin', 'Dick Elliott']"
49,1,1009,3.0,964981775,Escape to Witch Mountain (1975),Adventure|Children|Fantasy,Two mysterious orphan children have extraordinary powers and are chased by a scheming millionaire. But where do these kids really call home?,"['Eddie Albert', 'Ray Milland', 'Donald Pleasence', 'Kim Richards', 'Ike Eisenmann', 'Walter Barnes', 'Reta Shaw', 'Denver Pyle', 'Alfred Ryder', 'Lawrence Montaigne', 'Terry Wilson', 'George Chandler', 'Dermott Downs', 'Shepherd Sanders', 'Don Brodie', 'Paul Sorensen', 'Tiger Joe Marsh', 'Harry Holcombe']"
50,1,1023,5.0,964982681,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical,"Winnie the Pooh and his friends experience high winds, heavy rains, and a flood in Hundred Acre Wood.","['Sebastian Cabot', 'Sterling Holloway', 'John Fiedler', 'Jon Walmsley', 'Hal Smith', 'Ralph Wright', 'Junius Matthews', 'Howard Morris', 'Barbara Luddy', 'Clint Howard', 'Paul Winchell', 'Helge Kjærulff-Schmidt']"
52,1,1025,5.0,964982791,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.","['Rickie Sorensen', 'Sebastian Cabot', 'Karl Swenson', 'Junius Matthews', 'Ginny Tyler', 'Martha Wentworth', 'Norman Alden', 'Alan Napier', 'Richard Reitherman', 'Robert Reitherman', 'Barbara Jo Allen', 'Fred Darian', 'James MacDonald', 'Tudor Owen', 'Thurl Ravenscroft']"
53,1,1029,5.0,964982855,Dumbo (1941),Animation|Children|Drama|Musical,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.","['Sterling Holloway', 'Edward Brophy', 'Herman Bing', 'Billy Bletcher', 'Hall Johnson Choir', 'Cliff Edwards', 'Verna Felton', 'Noreen Gammill', 'Eddie Holden', 'Malcolm Hutton', 'James MacDonald', 'Harold Manley', 'John McLeish', 'Jack Mercer', 'Tony Neil', 'Dorothy Scott', 'Sarah Selby', 'Billy Sheets']"
54,1,1030,3.0,964982903,Pete's Dragon (1977),Adventure|Animation|Children|Musical,An orphan boy and his magical dragon come to town with his abusive adoptive parents in pursuit.,"['Sean Marshall', 'Helen Reddy', 'Jim Dale', 'Mickey Rooney', 'Red Buttons', 'Shelley Winters', 'Jane Kean', 'Jim Backus', 'Charles Tyner', 'Gary Morgan', 'Jeff Conaway', 'Cal Bartlett', 'Charlie Callas', 'Walter Barnes', 'Al Checco', 'Henry Slate', 'Jack Collins', 'Robert Easton']"
55,1,1031,5.0,964982653,Bedknobs and Broomsticks (1971),Adventure|Children|Musical,"An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II.","['Angela Lansbury', 'David Tomlinson', 'Roddy McDowall', 'Sam Jaffe', 'John Ericson', 'Bruce Forsyth', 'Cindy OCallaghan', 'Roy Snart', 'Ian Weighill', 'Tessie OShea', 'Arthur Gould-Porter', 'Ben Wrigley', 'Reginald Owen', 'Cyril Delevanti', 'Rick Traeger', 'Manfred Lating', 'John Orchard', 'Bob Holt']"
56,1,1032,5.0,964982791,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,"['Kathryn Beaumont', 'Ed Wynn', 'Richard Haydn', 'Sterling Holloway', 'Jerry Colonna', 'Verna Felton', 'J. Pat OMalley', 'Bill Thompson', 'Heather Angel', 'Joseph Kearns', 'Larry Grey', 'Queenie Leonard', 'Dink Trout', 'Doris Lloyd', 'James MacDonald', 'The Mellowmen Quartet', 'Don Barclay', 'Mel Blanc']"
57,1,1042,4.0,964981179,That Thing You Do! (1996),Comedy|Drama,"A local Pennsylvania band scores a one-hit wonder in 1964 and rides the star-making machinery as long as they can, with lots of help from their manager.","['Tom Hanks', 'Liv Tyler', 'Charlize Theron', 'Tom Everett Scott', 'Johnathon Schaech', 'Steve Zahn', 'Ethan Embry', 'Obba Babatundé', 'Giovanni Ribisi', 'Chris Ellis', 'Alex Rocco', 'Bill Cobbs', 'Peter Scolari', 'Rita Wilson', 'Chris Isaak', 'Kevin Pollak', 'Robert Torti', 'Chaille Percival']"
